234567, 2024-06-07, 1922, 3456789, Property Taxes, 1234.33, 1, 1234.33, 185.15, 1419.48
234568, 2024-08-22, 1924, 3456782, Car 4 Repairs, 364.11, 1, 364.11, 54.62, 418.73
234569, 2024-09-13, 1923, 3456781, Car 3 Repairs, 765.32, 1, 765.32, 114.80, 880.12
234570, 2024-10-15, 1925, 3456784, Car 2 Oil & Filter, 65.78, 1, 65.00, 9.87, 74.87
234571, 2024-10-22, 1922, 3456785, Car 1 Washer Fluid, 40.00, 1, 40.00, 6.00, 46.00
234572, 2024-10-28, 1922, 3456786, Car 2 Repairs, 666.32, 1, 666.32, 99.95, 766.27
234573, 2024-11-02, 1922, 3456787, Car 3 Reg. Renewal, 95.00, 1, 95.00, 14.25, 109.25
234574, 2024-11-07, 1922, 3456788, Car 4 Repairs, 500.65, 1, 500.65, 75.10, 575.75
234575, 2024-11-09, 1927, 3456789, Car 1 Oil & Filter, 65.78, 1, 65.00, 9.87, 74.87
234576, 2024-11-11, 1928, 3456790, Car 3 Reg. Renewal, 95.00, 1, 95.00, 14.25, 109.25
234577, 2024-11-14, 1930, 3456791, Car 2 Repairs, 650.30, 1, 650.30, 97.55, 747.85
234578, 2024-11-16, 1926, 3456792, Car 4 Oil & Filter, 65.78, 1, 65.00, 9.87, 74.87
234579, 2024-11-20, 1925, 3456793, Car 3 Tire Change, 120.00, 1, 120.00, 18.00, 138.00
234580, 2024-11-26, 1931, 3456794, Car 1 Reg. Renewal, 95.00, 1, 95.00, 14.25, 109.25
234581, 2024-11-29, 1928, 3456795, Car 4 Tire Change, 120.00, 1, 120.00, 18.00, 138.00
