151, 1922, 2024-06-01, Stand Fees, 175.0, 26.25, 201.25
152, 1924, 2024-06-01, Stand Fees, 175.0, 26.25, 201.25
153, 1923, 2024-07-10, Rental Fees, 300.0, 45.0, 345.0
154, 1925, 2024-07-14, Rental Fees, 600.0, 90.0, 690.0
155, 1922, 2024-07-01, Stand Fees, 175.0, 26.25, 201.25
156, 1925, 2024-08-20, Rental Fees, 1200.0, 180.0, 1380.0
157, 1926, 2024-07-01, Stand Fees, 175.0, 26.25, 201.25
158, 1927, 2024-08-01, Stand Fees, 175.0, 26.25, 201.25
159, 1928, 2024-11-01, Rental Fees, 300.0, 45.0, 345.0
160, 1929, 2024-10-01, Stand Fees, 175.0, 26.25, 201.25
161, 1930, 2024-10-20, Stand Fees, 175.0, 26.25, 201.25
162, 1931, 2024-11-01, Rental Fees, 300.0, 45.0, 345.0
163, 1927, 2024-11-01, Stand Fees, 175.0, 26.25, 201.25
164, 1929, 2024-11-01, Stand Fees, 175.0, 26.25, 201.25
165, 1930, 2024-11-25, Rental Fees, 1200.0, 180.0, 1380.0
